iqr_open: Opened wwv_5Mhz_g40_1234_48k.iqr
  Sample rate: 48000 Hz
  Center freq: 5000000 Hz
  Samples: 8644116
  Duration: 180.09 seconds
time,wwv,wwvh,wwv_thresh,wwvh_thresh
112.63698,0.044412,0.029198,0.111473,0.093210
112.63798,0.053704,0.049227,0.111473,0.093210
112.63898,0.057083,0.047685,0.111473,0.093210
112.63998,0.072824,0.061330,0.111473,0.093210
112.64098,0.060464,0.053338,0.111473,0.093210
112.64198,0.076642,0.060827,0.111473,0.093210
112.64298,0.064394,0.056757,0.111473,0.093210
112.64398,0.077080,0.060328,0.111473,0.093210
112.64498,0.067738,0.059625,0.111473,0.093210
112.64598,0.058547,0.038456,0.111473,0.093210
112.64698,0.067063,0.054213,0.111473,0.093210
112.64798,0.054671,0.042260,0.111473,0.093210
112.64898,0.051391,0.045079,0.111473,0.093210
112.64998,0.050091,0.042615,0.111473,0.093210
112.65098,0.056295,0.042834,0.111473,0.093210
112.65198,0.049035,0.044046,0.111473,0.093210
112.65298,0.066361,0.056282,0.111473,0.093210
112.65398,0.056388,0.049181,0.111473,0.093210
112.65498,0.043824,0.037528,0.111473,0.093210
112.65598,0.053964,0.048485,0.111473,0.093210
112.65698,0.057977,0.046792,0.111473,0.093210
112.65798,0.047185,0.037300,0.111473,0.093210
112.65898,0.055146,0.046028,0.111473,0.093210
112.65998,0.050041,0.042316,0.111473,0.093210
112.66098,0.058338,0.051916,0.111473,0.093210
112.66198,0.064376,0.051451,0.111473,0.093210
112.66298,0.053091,0.043663,0.111473,0.093210
112.66398,0.055829,0.046101,0.111473,0.093210
112.66498,0.059943,0.046641,0.111473,0.093210
112.66598,0.060777,0.054863,0.111473,0.093210
112.66698,0.058978,0.042342,0.111473,0.093210
112.66798,0.065255,0.058607,0.111473,0.093210
112.66898,0.054673,0.046024,0.111473,0.093210
112.66998,0.053938,0.045316,0.111473,0.093210
112.67098,0.064669,0.051589,0.111473,0.093210
112.67198,0.047705,0.040831,0.111473,0.093210
112.67298,0.059695,0.044815,0.111473,0.093210
112.67398,0.056738,0.045022,0.111473,0.093210
112.67498,0.055293,0.044895,0.111473,0.093210
112.67598,0.071268,0.057194,0.111473,0.093210
